realSum,room_type,person_capacity,host_is_superhost,cleanliness_rating,guest_satisfaction_overall,dist
176.21763111152657,Private room,2,TRUE,9,90,5.232128070787018
177.38618304197436,Private room,2,FALSE,8,95,4.086525683735085
173.880527250631,Private room,2,FALSE,10,97,3.1993052797581947
353.60381415350093,Entire home/apt,4,FALSE,10,97,6.16360595846961
324.6237262783958,Private room,2,TRUE,9,95,0.9555807195055794
162.1950079461531,Private room,2,FALSE,10,99,3.484199876714543
347.99476488735155,Private room,2,TRUE,10,98,3.529567500279178
146.0689913059736,Private room,2,FALSE,10,99,4.931132192029575
168.2714779844816,Entire home/apt,2,FALSE,10,94,8.549955695849723
519.538188277087,Entire home/apt,6,FALSE,9,89,2.008519227245686
168.2714779844816,Private room,3,FALSE,9,90,3.213392011981708
299.14929419463397,Private room,2,FALSE,6,60,8.919735779910805
125.26876694400298,Private room,2,FALSE,9,93,8.547444729969374
322.5203328035898,Private room,4,TRUE,10,93,4.297696377388108
458.0723567355333,Entire home/apt,5,FALSE,8,84,2.743768870103757
172.7119753201832,Entire home/apt,2,FALSE,10,100,3.1333750963778795
109.14275030382348,Private room,2,FALSE,10,94,3.8393949484260967
173.880527250631,Private room,2,FALSE,10,96,3.6801581192766166
196.083013929139,Entire home/apt,2,FALSE,10,93,8.367344971952448
125.26876694400298,Private room,2,FALSE,10,100,3.3478494431745887
134.6171823875853,Private room,2,TRUE,10,96,2.5263170218925435
287.9311956623352,Entire home/apt,4,TRUE,10,95,3.1373937726447516
345.4239506403664,Entire home/apt,3,FALSE,9,93,2.3241826582639065
391.9323174721884,Private room,4,FALSE,10,100,6.559578193552666
243.52622230531924,Entire home/apt,3,FALSE,7,78,5.649863029487457
202.86061512573616,Entire home/apt,2,TRUE,10,97,5.241034244257978
654.6227914368513,Entire home/apt,6,TRUE,9,94,2.700664451436235
194.68075161260165,Entire home/apt,3,FALSE,9,93,5.40840179509002
276.946807516126,Entire home/apt,2,FALSE,9,97,7.262027797948773
244.69477423576703,Private room,2,FALSE,10,99,6.944211563411395
220.15518369636345,Entire home/apt,2,TRUE,10,97,3.510684094360947
150.74319902776477,Private room,2,FALSE,10,95,6.818861654150153
141.39478358418248,Private room,2,FALSE,8,92,7.460010816229643
179.4895765167804,Private room,2,TRUE,10,97,13.627397780281434
197.2515658595868,Private room,4,FALSE,9,91,7.93235038753094
184.3974946246611,Entire home/apt,2,TRUE,10,97,5.679778981668202
95.12012713845004,Private room,2,FALSE,9,88,3.492282374356801
229.73730952603532,Private room,2,FALSE,9,90,1.0263532872526202
143.73188744507806,Shared room,6,FALSE,9,91,0.9866425112242028
143.73188744507806,Shared room,4,FALSE,10,93,0.8673269455287196
143.73188744507806,Shared room,6,FALSE,9,92,0.8424031011461497
109.14275030382348,Private room,2,FALSE,7,92,2.844810633492643
162.42871833224268,Private room,2,FALSE,10,94,0.5918965421460411
695.7558193886135,Entire home/apt,6,TRUE,10,95,4.297712221377252
231.84070300084133,Entire home/apt,4,FALSE,10,99,2.3705161739534755
147.2375432364214,Private room,3,TRUE,10,99,4.673480926335584
301.7201084416191,Entire home/apt,3,FALSE,10,100,3.898491411293649
81.33121435916611,Shared room,2,TRUE,10,99,6.0373883480162265
209.8719267084229,Entire home/apt,2,TRUE,10,99,7.822139998563558
91.61447134710666,Private room,2,FALSE,8,90,3.250577442825674
155.41740674955594,Private room,5,TRUE,10,95,1.432802023203618
226.23165373469195,Entire home/apt,5,FALSE,10,99,9.407124609531134
162.42871833224268,Entire home/apt,2,FALSE,10,96,1.045953020134923
204.02916705618395,Private room,2,TRUE,10,99,5.135357439843829
197.2515658595868,Private room,2,TRUE,10,98,2.4767013205140267
192.34364775170607,Private room,2,FALSE,10,97,4.323373204374394
125.26876694400298,Shared room,4,FALSE,9,90,7.872749319870672
197.2515658595868,Entire home/apt,2,FALSE,10,98,3.656613998150553
324.6237262783958,Entire home/apt,2,TRUE,9,96,7.956032514317922
218.05179022155744,Private room,2,TRUE,10,99,8.679772166565556
125.03505655791342,Private room,2,FALSE,10,97,5.68612411054115
276.0119659717678,Entire home/apt,4,TRUE,10,98,3.3032638019535856
173.880527250631,Private room,2,FALSE,9,96,8.273855852573549
179.72328690286994,Private room,2,TRUE,9,89,4.934291209741834
379.31195662335233,Entire home/apt,2,TRUE,10,99,2.669394504227379
161.02645601570532,Private room,2,TRUE,10,98,2.7206269584801492
388.4266616808451,Entire home/apt,4,TRUE,10,98,1.9955318176439103
